DMSO_L1,DMSO_L2,DMSO_L3,DMSO_L4,DMSO_L5,DMSO_L6,DMSO_L7,DMSO_TNM,1uM_L1,1uM_L2,1uM_L3,1uM_L4,1uM_L5,1uM_L6,1uM_L7,1uM_TNM,5uM_L1,5uM_L2,5uM_L3,5uM_L4,5uM_L5,5uM_L6,5uM_L7,5uM_TNM,10uM_L1,10uM_L2,10uM_L3,10uM_L4,10uM_L5,10uM_L6,10uM_L7,10uM_L8,10uM_TNM,15uM_L1,15uM_L2,15uM_L3,15uM_L4,15uM_L5,15uM_L6,15uM_L7,15uM_TNM,20uM_L1,20uM_L2,20uM_L3,20uM_L4,20uM_L5,20uM_L6,20uM_TNM,30uM_L1,30uM_L2,30uM_L3,30uM_L4,30uM_L5,30uM_L6,30uM_L7,30uM_TNM,50uM_L1,50uM_L2,50uM_L3,50uM_L4,50uM_L5,50uM_L6,50uM_L7,50uM_TNM
471.854,843.423,1358.918,1570.462,1880.606,,,2146.159,431.562,976.383,1277.338,1512.577,,,,1780.083,365.994,888.302,1141.431,1453.202,1853.544,,,2090.76,373.388,773.43,1111.164,1429.308,1635.908,1812.957,1944.241,,2177.881,396.283,869.828,1198.331,1520.036,1828.718,,,1927.284,403.141,847.699,1066.844,1397.228,,,1489.968,428.525,917.186,1233.789,1385.179,1682.06,1915.222,,2143.09,383.389,803.354,1012.926,1150.974,,,,1269.022
431.343,1060.984,1421.479,1554.62,1856.015,,,2005.332,463.274,998.117,1300.044,1641.173,1920.637,,,2109.042,443.127,921.86,1184.155,1400.821,1741.964,1866.554,,2007.538,447.824,863.039,1196.533,1430.526,1589.154,1862.354,2110.508,,2230.584,505.462,958.807,1287.094,1507.414,1783.293,,,1973.949,374.592,719.863,963.102,1206.905,1427.795,,1635.349,351.802,758.427,1159.049,1391.996,1601.832,1726.599,1910.205,2044.706,418.826,1038.048,1259.365,1408.401,1533.386,1785.524,,1954.126
447.794,890.137,1327.648,1565.501,1686.413,1813.734,,2037.19,416.388,880.273,1333.814,1537.803,,,,1672.254,481.831,1045.109,1285.908,1602.248,1829.352,2089.107,,2299.164,381.045,850.669,1188.484,1437.797,1851.073,1942.876,,,2130.262,388.743,954.762,1201.067,1498.394,1577.829,1819.509,,2018.631,459.413,866.792,1152.945,1347.01,1557.089,,1744.554,379.105,789.164,1104.047,1343.553,1622.48,,,1858.642,371.888,671.035,960.329,1172.023,1405.58,,,1617.911
372.598,861.054,1237.654,1528.035,1821.049,2090.761,,2237.338,444.041,917.777,1285.435,1466.253,1721.99,2046.949,,2222.715,442.92,900.263,1266.292,1400.037,1589.394,1859.665,,2119.548,382.908,678.395,929.994,1157.41,1441.58,1650.158,1844.178,2010.21,2144.161,412.389,825.623,1055.724,1216.687,1516.066,1720.008,,1864.613,431.447,919.579,1233.205,1448.483,1656.649,1884.499,2136.12,453.843,920.594,1318.074,1518.508,1804.446,,,1942.435,462.742,784.392,1033.998,1191.494,1336.236,1523.928,,1766.108
434.369,781.927,1080.784,1304.708,1593.902,1840.349,,2018.555,430.192,969.55,1291.565,1630.163,1889.741,,,2171.966,348.746,871.053,1222.34,1602.899,1861.915,,,2078.545,368.183,907.164,1146.778,1314.308,1474.964,1684.868,,,1878.781,482.611,824.81,1123.575,1432.807,1653.99,,,1893.838,426.053,823.105,998.008,1257.111,1398.169,1671.142,1858.293,404.616,732.213,1052.583,1287.826,1501.931,1657.032,,1788.658,375.156,691.18,935.516,1147.574,1369.172,,,1530.17
470.267,1035.21,1258.377,1730.793,1888.17,,,2160.9,423.538,959.577,1200.81,1573.435,1900.222,,,2072.511,388.151,836.772,1143.031,1489.1,1810.364,,,1962.952,391.886,894.967,1158.222,1533.126,1631.721,1953.305,,,2292.35,477.083,812.36,1052.643,1430.105,1610.578,1738.543,,2037.453,424.741,925.531,1218.594,1390.32,1650.461,1950.052,2122.338,354.927,820.054,971.533,1191.705,1483.902,1739.726,,1824.972,371.522,828.9,1050.019,1275.115,1566.263,,,1782.296
367.394,844.194,1147.285,1453.115,1702.834,1946.54,,2156.595,431.549,947.69,1358.091,1562.751,1838.103,,,2090.628,470.491,1084.089,1525.146,1787.178,1923.25,,,2172.318,376.76,836.224,1013.398,1312.459,1584.917,1850.553,1982.489,,2098.012,388.128,899.616,1239.643,1548.307,1709.813,1848.186,,1927.487,412.375,813.196,1121.139,1283.027,1498.215,,1812.176,364.702,758.929,995.412,1300.699,1454.797,1609.044,1908.191,2019.714,364.051,785.627,1048.953,1232.484,,,,1475.421
493.065,930.27,1351.572,1588.302,,,,1696.945,367.758,870.193,1206.61,1441.373,1721.455,1945.273,,2158.217,404.331,897.232,1138.47,1221.026,1370.96,1596.403,1721.166,1883.021,378.129,814.636,1145.991,1536.902,,,,,1776.303,375.762,861.276,1061.419,1323.947,1592.947,,,1862.06,419.272,817.669,1146.625,1384.575,1519.678,,1857.122,449.281,797.842,1036.874,1270.602,1539.649,,,1658.949,285.659,662.68,885.498,1105.02,1311.487,,,1544.172
443.211,899.83,1403.093,1636.456,1859.827,,,2101.875,368.829,911.588,1238.013,1525.65,1789.654,2141.328,,2240.563,396.989,779.933,1070.389,1351.405,1601.665,1854.898,,1996.49,375.935,789.684,1055.518,1340.867,1551.247,1744.738,,,1892.531,361.171,866.673,1037.246,1272.521,1617.425,1833.914,,2147.635,456.354,876.082,1059.719,1213.957,1528.711,1745.341,1866.696,385.751,713.901,1065.252,1304.888,1600.107,,,1659.214,350.263,858.912,1081.856,1363.636,1553.984,,,1763.714
408.576,923.791,1301.029,1576.476,1861.861,,,2060.624,401.107,992.195,1347.122,1721.945,1928.887,,,2118.393,367.764,863.187,1168.21,1457.106,1771.97,1949.207,,2166.354,441.362,832.081,1065.005,1291.535,1501.95,1754.678,1843.446,,1964.859,378.702,772.762,1009.11,1222.863,1386.93,1770.666,,1961.178,396.705,865.78,1277.157,1494.481,1639.352,1897.094,2188.291,362.635,768.778,1088.4,1242.823,1420.359,1657.617,1756.81,1890.805,429.862,839.243,1144.646,1370.771,1645.99,,,1764.1
391.464,842.601,991.05,1290.866,1550.731,1820.083,1978.323,2095.349,370.497,946.594,1267.511,1495.856,1750.526,1983.877,,2212.413,386.274,845.333,1094.513,1425.797,1570.156,,,1816.371,373.974,755.286,1119.298,1321.639,1655.636,,,,1788.234,464.94,944.97,1211.038,1434.459,1588.644,1756.083,1940.037,2157.756,380.588,873.794,1285.74,1509.625,1648.079,1894.749,2192.374,348.088,735.837,1126.362,1362.545,1657.989,,,1914.025,440.778,739.421,973.975,1135.599,1290.414,1436.379,,1584.639
393.625,921.743,1079.12,1315.554,1630.461,1929.148,,2040.816,462.22,883.502,1141.185,1391.394,1731.455,1929.95,2095.592,2264.192,357.868,829.434,1147.746,1450.12,1651.208,1902.725,,2183.473,467.568,874.245,1271.317,1438.873,1773.429,,,,2002.937,355.684,747.139,990.332,1223.54,1443.259,1682.603,,1872.767,455.798,758.911,1069.68,1290.966,1574.744,,1677.226,422.472,796.802,1114.994,1400.748,1643.708,,,1775.236,387.582,766.063,862.476,1139.228,1231.847,1377.091,1585.369,1687.355
442.966,1033.359,1453.359,1637.083,1860.259,,,2100.193,483.891,876.211,1126.062,1340.192,1626.545,1879.406,,2154.064,445.309,936.194,1182.413,1609.98,1873.519,1997.086,,2177.444,473.591,860.476,1175.341,1555.845,1837.943,2141.196,,,2250.126,349.629,815.817,1208.794,1508.962,1756.313,,,2000.194,372.409,842.422,1147.972,1489.456,1745.328,,1912.607,309.013,601.051,926.109,1086.979,1300.093,1483.861,,1680.926,683.564,899.825,,,,,,
466.256,981.673,1441.274,1700.468,1897.298,,,2134.164,414.495,884.365,1127.397,1413.029,1649.848,1922.306,,2093.79,458.675,787.688,1161.183,1422.038,1661.387,1795.685,,1905.9,354.646,817.678,979.674,1223.129,1498.083,1689.845,,,1772.472,382.616,842.275,1157.304,1509.186,1712.567,1904.09,,2015.566,407.458,810.547,1074.193,1298.339,1598.683,,1760.202,380.379,843.396,1095.236,1238.142,1505.628,1705.835,1840.273,1977.051,448.007,764.54,1090.729,1324.236,1528.596,1786.021,,1911.556
323.863,930.983,1309.815,1663.241,1929.804,,,2154.568,456.168,1143.321,1545.465,1677.462,,,,1958.346,404.62,952.511,1302.031,1592.627,1769.895,2072.738,,2138.972,483.995,796.062,1101.024,1186.27,1422.399,1701.19,,,1944.217,355.24,835.458,1220.245,1568.812,1815.226,,,1926.792,836.019,1170.398,1405.207,1693.172,,,1829.038,373.032,797.699,1031.959,1200.443,1555.697,1836.563,,1994.733,451.282,825.423,1061.518,1225.56,1363.461,,,1596.491
506.859,1193.433,1328.103,1658.05,1776.262,,,2050.431,485.477,1109.551,1412.508,1721.617,1912.253,,,2154.716,388.737,879.885,1202.029,1563.519,1786.87,1977.758,,2175.808,441.139,900.648,1205.756,1550.277,1780.057,1938.264,,,2138.98,404.818,811.675,1143.237,1458.517,1662.055,1922.751,,2056.251,454.898,812.504,1134.42,1450.126,,,1686.613,455.708,827.942,1064.876,1295.606,1581.636,,,1877.34,760.519,911.288,1127.638,1274.993,1451.906,,,1645.275
465.023,1087.182,1561.016,,,,,2103.097,457.434,905.859,1262.329,1469.841,1717.65,1839.163,,2082.094,353.896,647.326,1125.655,1349.797,1692.101,,,1915.45,343.32,904.452,1209.844,1489.443,1672.837,1925.067,,,2220.76,452.695,1066.874,1231.016,1602.162,1954.434,,,2217.458,414.565,803.517,1075.703,1305.211,1534.774,,1780.741,355.578,764.299,932.729,1090.286,1389.843,1669.543,1831.161,1956.854,298.634,722.91,939.673,1242.199,1445.655,,,1619.723
490.844,893.206,1143.387,1436.609,1844.771,2016.193,,2138.633,406.159,1040.572,1334.078,1620.302,1833.519,,,1958.519,334.588,857.812,1096.271,1322.668,1596.673,1863.187,,2134.882,450.987,831.375,1216.448,1667.802,1931.477,,,,2079.61,443.392,837.931,1374.191,1505.93,1700.051,1973.464,,2141.28,394.108,880.051,1106.53,1408.395,1667.464,,1818.617,361.395,910.013,1143.944,1456.65,1722.548,1876.971,,2117.993,432.964,800.206,964.332,1108.749,1328.894,,,1614.542
391.53,838.163,1137.277,1439.452,1800.654,1902.448,,2117.962,533.723,1182.731,1561.013,1928.952,,,,2159.378,,,,,,,,,466.484,982.06,1300.184,1534.87,1843.317,2107.304,,,2266.772,371.111,966.547,1333.735,1746.03,2000.247,,,2138.05,478.613,948.068,1216.967,1416.917,1669.394,,1934.735,350.242,941.455,1115.961,1352.97,1507.412,1783.657,1938.313,2049.981,374.504,770.445,1204.605,1280.299,1464.171,,,1727.131
411.743,903.674,1365.14,1515.222,1935.505,2134.62,,2258.923,342.591,751.023,1187.895,1614.743,,,,1974.598,,,,,,,,,510.081,877.478,1410.641,1653.244,1830.318,,,,2158.918,439.326,889.346,1126.262,1362.687,1596.072,1911.544,,2065.876,377.225,761.657,968.28,1280.207,1434.306,1673.65,1782.399,371.258,675.632,916.282,1233.547,1456.898,,,1645.252,329.109,802.198,1043.803,1320.967,1545.886,,,1717.536
